bando,piattaforma,commento_p,target
asd 2019,bandi online,facile apprendimento senza guida anomalie segnalate non non_viene non_dato non_avviso non_chiaro non_punto non non_corretto non_avviso non_generico,1
asd 2018,bandi online,chiaro semplice compilazione,1
bando pro loco,siage,trovato sistema estremamente chiaro semplice utilizzo,1
bando pro loco,siage,certi aspetti passaggi non non_chiaro non_immediato,1
sostegno manifestazioni sportive,bandi online,difficoltà inserire ricevuta chiamato regione due minuti risolto,1
asd 2019,bandi online,volta ricevuti alcuni dettagli inserimento semplice dubbio viene date inserire quando file unico ricevute mensili rispettivi bonifici,1
bando accumulo anno 2017,bandi online,richiesta poter accedere agevolazione problemi inserire archivi firmati perche inseriti contemporaneamente dava errore dicendomi mancavano documenti solo molto dopo intuito bisognava inserirne 1 volta ovviamente molto poco non non_permesso non_accedere non_agevolazione non_formalmente non_corretta non_ora non_rendicontazione non_problemi non_perche non_veniva non_detto non_obbligatorio non_inserire non_archivio non_inerente non_iscrizione non_gse non_cosa non_me non non_fatta non_perche non_impianti non_scambio non_posto non non_deve non_essere non_fatta non_registrazione non_suggerimento non_esterno non_permesso non_terminare non_rendicontazione non_stato non_inserire non_archivio non_viene non_indicata non non_obbligatorieta non_tale non_iscrizione,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,lodevole iniiziativa supportare economicamente famiglie già molto provate disagiiniziative purtroppo poco pubblicizzate,0
turismoeattrattivita,siage,molti documenti potrebbero essere recuperati direttamente tenendo presente ormai online tracciato,0
bando accumulo anno 2017,bandi online,indicazioni contrastanti informazioni fornire non non_state non_chiarite,0
alvia,bandi online,tempi troppo lunghi,0
contributi asd ssd linea 1 e linea 2 2017,siage,bando chiaro aspetti tuttavia chiede modo ripetitivo dichiarazioni due fasi accettezione rendicontazione software rendicontazione rigido non non_amichevole non_occorre non_manuale non_supporto non_telefonico non_capire non_funziona non_segno non_costruito non_male non_riuscito non_risolvere non_interrogativi non_vari non_passaggi non_senza non_manuale non_costo non_certa non_irritazione non_pensando non_facile non_uso non_sistemi non_bancari non_acquisti non_on non_line non_particolare non_errore non non_completezza non_dovrebbero non_essere non_segnalate non_subito non_corso non_compilazione non_inoltre non non_recupera non_iva non non_possiede non_partita non_iva non_autocertificazione non_dovrebbe non_avere non_campi non_corrispondeenti non_già non_azzerati non_terzo non_anno non_partecipo non_notato non_grossi non_miglioramenti non_tecnici non_poca non_attenzione non_utenti,1
innodrivermisuraa,bandi online,tempi incasso lunghi,0
turismoeattrattivita,siage,trovato difficoltà raccogliere tutte informazioni completare compilazione relazione allegati rendicontazione facilmente reperibile solo relazione tipo altri allegati dovuto recuperare schemi tipo dichiarazioni ricercando internet non non_sempre non_stato non_facile non_immediato non_forse non_elenco non_riassuntivo non_modulistica non_tipo non_allegata non_accettazione non_progetto non_snellito non_tutta non_procedura,0
asd 2018,bandi online,chiaro semplice,1
autoimprenditorialitã -articolo43,bandi online,spesso vengono fatte manutenzioni sistema tempo reale senza sospendere accesso operatori problematiche malfuzionamento spesso non non_vengono non_rispettate non_tempistiche non_indicate non_vari non_avvisi,0
e di nuovo sport,bandi online,rendicontazione complicata prende giorni interi lavoro 4 caso lasciassi commercialista costerebbe 30 ricevo bando costo burocrazia allega documento contabile non non_possibilità non_allegare non_altro non_documento non_esempio non_fattura non_distinta non_bonfico non_dunque non_obbligato non_stampare non_decine non_centinaia non_fatture non_doverle non_scannerizzare non_insieme non_bonifico non_riclassificando non_nominado non_ogni non_file non_nuovamente non_spreco non_carta non_lavoro non_inutile non_inoltre non_dover non_ricopiare non_dati non_già non_presente non_fattura non_elettronica non_ripetizione non_lavoro non_dati non_già non_presenti non_allegati non_partita non_iva non_codice non_fiscale non_ecc non_aggiungo non_chiedere non_partecipante non_suddividere non_cifre non_netto non_iva non_iva non_ogni non_fattura non_diventa non_complicato non_macchinoso non_soggetto non_errori,0
bando accumulo anno 2017,siage,dati inseriti non non_controllo non_caso non_inserito non_valori non_iva non_sbagliati non_calcolati non_22 non_anzichè non_10 non_fattura non_allegata non_nessuno non_segnalato non_errore non_conseguenza non_contributo non_stato non_decurtato,0
rinnova autoveicoli,bandi online,procedura facile interpretazione intuitiva,1
asd 2018,bandi online,bando ottima possibilità supporto asd gestione non non_difficile non_portata non_senza non_necessità non_particolari non_supporti,1
asd 2019,bandi online,gestione buona relazione flessibilità rapidità chiusura pratica documentazione risulta talvolta ridondante certe voci spesa rendicontare,1
faber iii ed,bandi online,bando ottimo unica pecca dover gestire pratica subito momento apertura evitare chiusura bando esaurimento fondi,1
asd 2018,bandi online,semplice utilizzare,1
alvia,bandi online,molto lento tempi approvazione,0
lingua lombarda e patrimonio immateriale 2018,bandi online,momento rendicontazione stato complesso passaggi prestano equivoci non non_programmi non_zippare non_documenti non_accettati non_usiamo non_normalmente non,1
bando accumulo anno 2017,bandi online,ringrazio regione staff precisando non non_indicato non_punteggio non_alto non_stato non_concesso non_contributo non_trovato non_personale non_disponibilità non_gentilezza non_professionalità non_mai non_riscontrata non_pubblica non_amministrazione non_oltre non_rapidità non_risposte non_varie non_comunicazioni non_grazie non_ancora,1
recupero prodotti alimentari invenduti,bandi online,qualche scollamento informazioni messa pratica piattaforma complesso va bene,0
bando accumulo anno 2017,bandi online,complessità burocratica procedure,0
bando accumulo anno 2017,siage,state riscontrate difformità modulistica allegata bando informazioni richieste piattaforma,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,grande aiuto famiglie,1
asd 2018,bandi online,secondo anno utilizziamo conservando memoria vari passaggi risulta facile utilizzare inoltre sempre possibile consultare vecchie pratiche ripercorrere vari passaggi fatto volta saluti,1
rinnova autoveicoli,bandi online,alcune voci non non_chiare non_compilazione non_bando,1
e di nuovo sport,bandi online,troppa burocrazia,0
bando accumulo anno 2017,siage,chiarezza semplicità richieste,1
piano nazionale sicurezza stradale,siage,validissima opportunità realizzazione riqualificazione importante asse viario sovracomunale assenza bando risultati difficile esecuzione tempi brevi compiutamente,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,persone dato assistenza preparate,1
musei 2017,siage,non non_creato non_difficoltà,1
turismoeattrattivita,siage,riscontrato serietà professionalità preparazione,1
contributi asd ssd linea 1 e linea 2 2017,siage,funzionale,1
promozione culturale legge 9 2018,bandi online,proprio necessario piccolo contributo 3 5 richiedere rendicontazione cosi dettagliata non non_sufficente non_autodichiarazione non_successivo non_controllo non_documenti non_sede,0
rinnova autoveicoli,bandi online,non non_niente non_chiaro non_possono non_trovare non_tutte non_domande non_effetuate non_partecipare non_bandi non_interfaccia non non_user non_friendly non_informate non_coloro non_gestiscono non_interfaccia non_web non_fine non_semplificare non_interazione non_utenti non_gl non_analisti non_informatici non_devono non_fornire non_modalità non_navigazione non_consona non_attuali non_standard,1
biblioteche ed archivi storici 2019 spese correnti,bandi online,bando gestione facile comprensione salvo alcuni dettagli prettamente tecnici quali supporto archivista,1
alvia,bandi online,tempi risposta approvazione emissione decreti erogazione troppo lunghi rispetti tempistiche previste bando soprattutto rispetto esigenze aziendeimpossibilità comunicare referenti regione finlombarda non non_mezzo non_mail non_risposte non_troppo non_brevi non non_soddisfacentiun non_contatto non_telefonico non_potrebbe non_risolvere non_modo non_efficace non_esigenze non_informative non_azienda,0
garanziagiovanifaseii,bandi online,molto semplice compilare,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,poco complicato causa mole documenti richiesti,1
criteri di individuazione soggetti dello spettacolo,bandi online,fondamentale sopravvivenza enti teatrali,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,potrebbe essere semplice compilazione domanda protocollazione stessa,0
sostegno manifestazioni sportive,siage,scopre solo strada documenti vanno scansionati unendo copia singoli pagamenti singole fattura pratico inserire copi bonifici inoltre portale non non_user non_friendly non_ovvero non_intuitivo non_facile non_utilizzare,0
smaltimento amianto anno 2019,bandi online,troppo complesso,0
proposte di promozione della musica 2016,siage,può essere migliorato intuitivo,0
innodrivermisuraa,bandi online,svolto senza particolari intoppi,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ottima spiegaziine,1
rinnova autoveicoli,bandi online,complesso abbastanza chiaro funzionale,1
bando accumulo anno 2017,siage,troppo farraginoso espletamento firma elettronica acquisizione domanda stato incubo procedura lentissima,0
rinnova autoveicoli,bandi online,alcuni passaggi non non_chiarissimi non_esempio non_acquistato non_auto non_elettrica non_arrivata non_solo non_febbraio non_dovevamo non_completare non_domanda non_indicando non_targa non_nuovo non_veicolo non_inviando non_fattura non_chiamato non_assistenza non_capire non_riaprire non_domanda,1
rinnova autoveicoli,bandi online,molto efficiente trasparente,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,volta tutte info potuto inviare via mail po lunghi tempi riscontro complessivamente giudizio buono,1
bando accumulo anno 2017,siage,non non_esistono non_particolari non_complessità non_preparato non_uso non_informatica,1
smaltimento amianto anno 2019,bandi online,tempi risposta abbastanza lunghi dovuto sollecitare volte tramite mail,1
autoimprenditorialità - articolo43,bandi online,richieste formulario non non_apparse non_completamente non_chiare non_esaustive,1
asd 2019,bandi online,procedura insieme non non_sempre non_immediatamente non_intuibile non_problemi non_firma non_digitale non non_stato non_facile non_risolverli,0
bando accumulo anno 2017,siage,presentazione richiesta dato difficile reperimento derivava calcolo dopo pubblicazione graduatorie non non_stato non_comunicato non_quando non_stato non_possibile non_inserire non_dati non_piattaforma non_entrava non non_capiva non_cosa non_doveva non_fare non non_ancora non_attiva non_apposita non_sezione,1
e di nuovo sport,bandi online,buono non non_ottimo non_poiché non_manca non_ancora non_attenzione non_varianti non_sempre non_valore non_punteggio non non_indicato non_rispondendo non_domande non_punteggio non_grande non_impatto non_ammissione non_meno non_potrebbe non_essere non_rilevante non_conoscerlo non_anticipo non_piattaforma,1
alvia,bandi online,meglio gestibile azienda supporto manuale altri strumenti messi disposizione non non_ricorso non_consulenti non_esterni,0
innodriver misura a,siage,non non_particolarmente non_complicato non_fase non_produzione non_documenti non_documenti non_informazioni non_richieste non_relative non_azienda non_stati non_semplicemente non_reperibili non_facenti non_parte non_gestione non_ordinaria non_azienda,1
bando accumulo anno 2017,siage,troppo tempo adesso aspetta enel dia risposta poi forse arriva fine,0
ludopatie2017 linea 2 linea 3,siage,fase rendicontazione troppo elaborata richiede moltissime ore andrebbe snellita procedura,0
promozione culturale legge 9 2017,siage,troppo complicata rendicontazione,0
faber i ed,bandi online,disponibilità totale,1
legge 50 anno 2019,bandi online,sistema presentazione richiesta rendicontazione sembra opportunamente intuitivo,1
turismoeattrattivita,siage,qualsiasi dubbio viene risolto leggendo bando,1
bando accumulo anno 2017,bandi online,regolare fino momento firma elettronica poi problemi nemmeno call center riuscito risolvere,0
bando accumulo anno 2017,bandi online,ottima iniziativa fase iniziale richiesta molte perplessità parte compilazione stata difficoltosa ansia tempo scadenza alcune perplessità domande non non_state non_capite non_cmq non_grazie,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,complessivamente buona reperimento bando tempi compilazione domanda presentazione,1
bando accumulo anno 2017,siage,differenza vengono richiesti documenti vanno caricati esempio istruzioni bando partecipato vengivano richiesti diversi allegati mentre fase upload allegati andavano caricati unico file preparazione file può essere complessa non non_strumenti non_informatici non_adeguati non_ovvero non_comune non_cittadino,0
e di nuovo sport,bandi online,rendicontazione troppo articolata,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,intervento utile famiglia organizzazione risultata funzionante,1
contributi asd ssd linea 1 e linea 2 2017,siage,poco attenzione procedure dimostrate valide senza particolari problemi utilizzo,1
turismoeattrattivita,siage,trovato molto chiaro bando semplicenella compilazione consulenza ascom busto arsizio persona ingalessandro castiglione stata attenta puntuale professionale,1
impianti sportivi 2016,bandi online,stato primi bandi regione lombardia comprensibile stesura gestibile iter,1
asd 2018,bandi online,perche rispetto pasato procedure state semplificate molto intuitivo,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,bambini disturbi apprendimento famiglie scuola devono necessariamente mettere atto serie strategie compensative vanno applicativi assistenza compiti pertanto ritengo inutile continuamente bando chiede obbligatoriamente acquisto pc famiglia parte informatica già assolta deve poter essere aiutata assolvere resto assistenza compiti supporto mediante acquisto software materiali compensativi studio considerare spesso famiglie devono necessariamente modificare orari lavoro fare assenze lavorative proprio supportare figli certificazioni concetto personale caso,0
bando accumulo anno 2017,bandi online,poco intuitiva piattaforma caricare documenti va migliorata molto,0
valorizzazione_aree_archeologiche_2017,siage,ogni misura state utilizzate modalità adesione modulistica rendicontazione completamente diverse,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,efficiente,1
e di nuovo sport,bandi online,semplice efficace tempo emergenza,1
bando accumulo anno 2017,siage,poteva essere bel 5 troppe difficoltà incontrano man mano compilano campi mentre trasmettono documenti esempio peso files questione inizio dà impressione poter essere inserito poco tempo mentre poi viene chiesto esempio inviare fatture quietanze file unico non non_sanno non_fare non_possiedono non_scanner non_riesce non_scansionare non_7 non_8 non_pagine non_file non_unico non_ecco non_me non_bisogna non_aggiustare non_cose non_impediscono non_fruibilità non_universale,1
bando accumulo anno 2017,siage,persone meno esperte attrezzate senza scanner ecc risulta po complesso resto ben fatto,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,non non_trovato non_grosse non_difficoltà,1
promozione culturale 2019,bandi online,piattaforma informatica laboriosa complessa,0
bando accumulo anno 2017,siage,risposta tempi correrti,1
sostegno manifestazioni sportive,bandi online,emergenza covid stravolto,0
sostegno manifestazioni sportive,siage,immediato intuitivo,1
biblioteche 2017,siage,alcuni casi non non_immediato non_accesso non_funzionalità non_richieste non_rendicontazione non_obbligo non_descrizione non_oggetto non_allegati non_ecc,0
e di nuovo sport,bandi online,gestione molta professionalità utile periodo grossa difficoltà,1
musei spese correnti 2019,bandi online,rispetto anni precedenti procedura semplice potrebbe essere migliorata rendendo subito visibile procedura senza dover aspettare inserire dati vedere format scaricare,1
bando accumulo anno 2017,siage,livello informatizzazione troppo elevato essere utilizzato cittadini vengono automaticamente esclusi bando quei cittadini non non_dimestichezza non_firme non_digitali non_navigazioni non_complicate,0
bando accumulo anno 2017,siage,non non_grossi non_problemi non_incontrati non_risolti non_modo non_semplice,1
fondo sale privati,bandi online,compilazione online varie fasi bando stata molto onerosa termini tempo complesso chiara ben assistita sistema siage comunicazioni telefoniche alcuni passaggi risultano superflui migliorabili esempio invio documento identità rappresentante legale viene richiesto almeno due volte oppure sembra soltanto burocratico richiedere documento nomina parroco parte vescovo fase accettazione contributo sembra superflua inoltre quietanza richiesta singole fatture rendicontazione risulta poco chiara modulistica online ottima tempestiva assistenza telefonica parte siage regione lombardia,1
bando accumulo anno 2017,siage,cioè,0
rivivi lombardia anno 2020,bandi online,ottimo rapporto referenti bando molto disponibili veloci rispondere richieste sistema online invece non non_sempre non_intuitivo non non_riporta non_chiaramente non_riepiloghi non_documenti non_caricati non_cifre non_indicate,1
criteri di individuazione soggetti dello spettacolo,bandi online,non non_attribuisco non_punteggio non_massimo non_perchè non_penso non_utilizzo non_piattaforma non_online non_possa non_essere non_ancora non_migliorato non_punto non_vista non_chiarezza non_semplificazione,1
e di nuovo sport,bandi online,perchè poco chiaro guida compilazione referente indicatomi mail risposto sola volta poi non non_piu non_riuscita non_contattarlo non_tempi non_compilazione non_rendicontazione non_troppo non_lunghi non_soprattutto non_parte non_riguardante non_personale non_sinceramente non_studio non_professionale non non_so non_costo non_addebitare non_cliente non_pratica,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,generale ottimo pecca indirizzo referente errato parte complicata bisogna cmq rivolgersi soggetti raccogliere dati vedi progetto individualizzato,1
criteri di individuazione soggetti dello spettacolo,bandi online,parte inserimento giustificativi risulta pò macchinosa forse potessi inserire direttamente giustificativi contabile bonifici margine errore compilazione diminuirebbe,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,tempi risposta lunghi,0
innodrivermisuraa,bandi online,manualistica non non_esaustiva non non_spiega non_passaggi non_dettaglio non non_copre non_tutte non_casistiche non_soprattutto non_fase non_rendicontazione non_call non_center non non_risponde non_nessuna non_domanda non_procedure non_referenti non_bando non_rispondono non_tempi non_variabili non_spesso non_riportando non_ciò non_già non_scritto non_manualistica non_tempistiche non_parte non_regione non non_rispettate non_scaduti non_ampiamente non_90 non_giorni non_somma non non_stata non_ancora non_erogata non non_ricevuto non_alcuna non_comunicazione non_merito,0
biblioteche 2017,siage,tempi ristretti realizzazione mandanza format partecipazione fuori procedura,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,facile comprensione,1
turismoeattrattivita,siage,occorre spiegare cose molta semplice chiara troppo spesso difficoltà districarmi termini difficili istruzioni non non_chiare non_occorre non_ridurre non_complessità non_aumentare non_chiarezza non_espositiva non_istruzioni,0
faber 2020,bandi online,difficoltà fine anzichè legale rappresentante documento rendicontazione usciva nome altro socio dovuto inviare visura camerale documento identità legale rappresentante far modificare dati uscivano automantico,1
garanziagiovanifaseii,bandi online,assistenza personale call center stata ottima indispensabile risolvere continue problematiche compilazione domanda bando quali nessuna parte trovavano istruzioni soluzione personale call center stato sempre gentilissimo disponibilissimo raggiungibile tempi accettabili procedura proprio no,0
asd 2018,bandi online,ritengo aiuto importante società sportive dilettantistiche,1
bando accumulo anno 2017,siage,intervalli risposta troppo lunghi,0
promozione culturale legge 9 2016,siage,rendicontazione particolarmente complicata soprattutto modalità non non_dichiarate non_inizio non_procedura non non_usuali non_rispetto non_rendicontazioni non_ministeriali non_altri non_enti non_pubblici non_privati non_solito non_compiliamo non_rendicontazioni,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,stati brevi tempi risposta modalità chiare categorici,1
adeguamento sale spettacolo 2020,bandi online,ottima dipsonibiliota referenti bando,1
contributi asd ssd linea 1 e linea 2 2017,siage,aumentare dotazione società sportive legate eps,0
biblioteche 2017,siage,procedura ormai consolidata anni,1
faber iii ed,bandi online,gestione bando stata inqualificabilenessuna informazione parte referentinessuna classifica meritopredisposizione domande troppo ridosso avvio bandocaratteristiche allegati obbligatorieta totalmente arbitrariatempi predisposizione rendicontazione incongrui qualunque piano aziendale non non_puo non_appovare non_domande non_due non_settimane non_scadenza non_auguro non_qualora non_bando non_rifinanziato non_sistema non_venga non_modificato non_radicalmente,0
bando accumulo anno 2017,siage,invoglia investire rendere meno inquinante ambiente oltre risparmiare,1
biblioteche 2017,siage,perche step documenti necessari gestione bando rendicontazione dovrebbero essere esplicitati raccolti pagina posta inizio procedura mentre ora modulistica documenti scaricare rendicontazione seconda pagina ultima firma legale rappresentante quando già avviato procedura sostanza consiglia mettere tutorial guide moduli scaricare pagina iniziale riconoscimento denominazione ente,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,agevolazione offre mano persone difficoltà,1
e di nuovo sport,bandi online,positiva stata erogazione contributo due momenti dato possibilità affrontare spese altrimenti non non_sostenibili non_negativi non_stati non_tempi non_limitati non_validità non_termini non_ultimi non_rendicontazione non_15 non_settembre non_termine non non_permesso non_inserire non_tutte non_spese non_adeguamento non_normative non_covid non_società non_dovuto non_affrontare non_ripresa non_nuovo non_anno non_sportivo,0
bando accumulo anno 2017,siage,troppo macchinoso tempi troppo lunghi procedura partecipazione complessa necessità disporre firma digitale ecc ecc conti fatti preparazione iniziale documenti erogazione contributo vorranno 10 mesi francamente follia,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,personale professionale paziente grazie,1
bando accumulo anno 2017,siage,attenzione particolare temi sostenibilità attraverso bando regione lombardia aderisce modo approcciare tali tematiche incentiva famiglie affrontate investimento sicuramente porta benefici ambientali economici gestione stata perfetta tempi efficace stato contattato immediatamente operatori dedicati rilevato errore iban documentazione istanza iniziativa stupenda,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,va bene aiutare comperare protesi abbastanza bene aiuto dato,1
turismoeattrattivita,siage,bando molto rispondente bisogni impresa stato possibile realizzare investimenti previsti gestione bando stata buona soprattutto capacità velocità risposta quesiti criticità 30 gg dopo termine investimenti rendicontare troppo pochi considerando rendicontazione prevedeva diversi documenti raccogliere scansionare fatture quietanze estratti conto caricamento altri documenti trovava ridosso mese agosto pieno stagione turistica,1
promozione culturale legge 9 2017,siage,troppo complicato entità contributo non non_giustifica non_eccessiva non_difficoltà non_complicazione non_modulistica,0
autoimprenditorialità -articolo43,bandi online,complicato livello organizzativo,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,bando chiaro corretto tempo ritenuto adeguato stata accolta domanda,1
faber i ed,bandi online,alcuni casi non non_capiva non_allegare non_documentazione non_richiesta,1
bando accumulo anno 2017,bandi online,oltre già segnalato precedenza riscontrato difficoltà allegare documentazione es non non_stato non_possibile non_farlo non_utilizzando non_internet non_explorer,0
bando accumulo anno 2017,siage,procedure farraginose creano sempre piu difficoltà cittadino normale non non_competente non_materiacreazione non_percorsi non_sempre non_complessi non_ritardano non_erogazione non_fondi,0
asd 2018,bandi online,gestione semplice intuitiva,1
adeguamento sale da spettacolo ed 2019,bandi online,molto chiaro conciso,1
contributi asd ssd linea 1 e linea 2 2017,siage,piattaforma vecchia complicata molto complicata burocratizzata richiede piu volte inserimento dati non non_avvisa non_immediatamente non_caso non_errore non_etc,0
biblioteche ed archivi storici 2019 spese correnti,bandi online,decreto dirigenziale allegati inutilmente prolissi circonvoluti,0
asd 2018,bandi online,troppo complicato non non_viene non_chiesto non_fin non_inizio non_documenti non_servono,0
bando accumulo anno 2017,bandi online,punto critico sempre procedura accettazione richieste resto ok,1
promozione culturale legge 9 2016,siage,bando sè troppo generico non non_fa non_differenziazione non_chiara non_progetti non_locali non_progetti non_regionali non_troppe non_iniziative non_assai non_eterogenee non_afferiscono non_stessa non_fonte non_senza non_poter non_mai non_aderire non_maniera non_definita non_linea non_finanziamento non_circostanziata non_tempi non_risposta non_apertura non_rendicontazione non_erogazione non_contributo non_inadeguati non_necessità non_operative non_realizza non_attività non_procedura non_chiusura non_quest non_anno non_stata non_resa non_accessibile non_problemi non_tecnici non_mese non_dopo non_data non_ufficialmente non_comunicata non non_stata non_data non_proroga non_presentazione non_rendiconto non_rendiconto non_poi non_eccessivamente non_dettagliato non_oneroso non_relazione non_entità non_contributo non_assegnato non_infatti non_richiesta non_quantità non_ingente non_informazioni non_estremamente non_precise non_ogni non_singolo non_giustificativo non_spesa non_necessitano non_tempo non_lavoro non_assai non_prolungato non_riteniamo non_indispensabile non_uniformazione non_procedure non_rendicontative non_enti non_pubblici non_regioni non_ministero non_devono non_parlare non_rendere non_omogenee non_richieste,0
rinnova autoveicoli,bandi online,semplice capire compilare,1
alvia,bandi online,tempi troppo lunghi gestione,0
e di nuovo sport,bandi online,molto semplice capire,1
garanziagiovanifaseii,bandi online,estremamente macchinosa procedura compilazione domanda non non_chiamato non_assistenza non non_mai non_riuscito non_completare non_procedura,0
bando accumulo anno 2017,siage,gestione online trovata piuttosto complessa vari passaggi password firma digitale ecc,0
e di nuovo sport,bandi online,comunicazioni ambigue procedura firma elettronica ridondante molto complicato piccole asd presidente fare bando sport salute esempio stato molto snello chiaro richieste,0
rinnova autoveicoli,bandi online,semplice intuitiva,1
innodrivermisuraa,bandi online,troppo tempo intercorso rendicontazione liquidazione gennaio 2019 contributo non non_stato non_ancora non_erogato non_distanza non_mesi non_chiusura non_rendicontazione,0
adeguamento sale da spettacolo ed 2019,bandi online,supporto operativo ottimo esauriente,1
bando accumulo anno 2017,bandi online,bene,1
e di nuovo sport,bandi online,troppi passaggi superflui,0
interventi urgenti di valorizzazione dei beni culturali 2017,siage,tempi presentazione esecuzione intervento successiva rendicontazione intervento appaiono piuttosto ristretti,0
faber 2020,bandi online,molto buono riguardo contributo previsto po troppo lento iter relativamente esigenze aziendali,1
e di nuovo sport,bandi online,non non_trovato non_difficoltà non_formularlo non_aiuto non_trovato non_assistenza non_diretta,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,volte non non_risulta non_molto non_chiara non_procedura non_tempi non_rimborso,0
e di nuovo sport,bandi online,fasi rendicontazione dovrebbero essere snelle invece procedere salvare operazioni poi visualizzare errori dopo campi dovrebbero essere aggiornati subito inoltre dovrebbero essere spiegati meglio campi corrispondenti importi inserire così pure campi f p obbligatori caso persona fisica quindi campo p deve riportare ancora dati f non non_specificato,1
asd 2019,bandi online,rendicontazione troppo complessa non non_possibile non_chiedere non_scansione non_caricamento non_singoli non_documento non_potrebbero non_essere non_diverse non_decine non_comporta non_lavoro non_eccessivo non_considerando non_molte non_società non_sportive non_so non_avvalgono non_volontari non_fare non_lavoro non_segreteria,0
bando accumulo anno 2017,bandi online,troppa burocrazia semplificare accesso documentazione,0
faber i ed,bandi online,ottima iniziativa riproponetela potete,1
dotazioni tecnico strumentali,bandi online,sindaco cambia corso progetto non non_pensabile non_autodeleghi non_sottoscrizione non_rendicontazione non_ogni non_procedimento non_aperto non_debba non_ripetere non_problema,0
turismoeattrattivita,siage,stata prima esperienza partecipazione bando già pubblicazione capito modo chiaro cosa trattava rivolgeva volta iniziata pratica adesione vari passaggi logici intuibili infine piattaforma siage ottimo strumento completare vari adempimenti,1
smaltimento amianto anno 2019,bandi online,ritiene inadeguata informativa messa disposizione corretta compilazione alcuni campi obbligatori soprattutto relativi sede rendicontazione importi riportare relativi dettaglio giustificativi spesa molto utili help on line direttamente collegati campi altrettanto gradito rafforzamento assistenza telefonica personale formato assistere compilazione,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,complesso strutturato bene comunque creato qualche esitazione compilazione soprattutto richiede ancora tanta documentazione chiede modifiche sostituzioni usura rottura ausilio già fornito bando documentazione già possesso ufficio,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,molto chiaro semplice quindi facile compilare,1
faber i ed,bandi online,aiuto concreto imprese dedite investimento tecnologico inoltre tempo intercorre partecipazione bando pubblicazione esiti giustificati istruttoria,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,personale stato efficiente sempre disponibile,1
promozione culturale legge 9 2016,siage,procedura lineare chiara passaggi,1
garanziagiovanifaseii,bandi online,richiesta documenti risultata molto poco specifica caso attività professionale,0
sostegno manifestazioni sportive,siage,alcune fasi complesse altre richieste poco chiare,0
smaltimento amianto anno 2019,bandi online,abbastanza buono bisognerebbe migliorare procedura rendicontazione inserendo meno informazioni già comunicate tramite documentazione allegare maggiori indicazioni riguardo,1
rinnova autoveicoli,bandi online,voto 4 sempre migliorabile esempio accesso semplice sito sicuro miglior facilità nellaccedere bando non non_competenze non_informatiche non_sufficienti non_alcune non_domande non_bando non_auto non_rischiavano non_creare non_dubbi non_utilizzare non_linguaggio non_semplice non_comunque non_soddisfatto non_piacevolmente non_sorpreso non_fluidità non_procedura non_ripeto non_voto non_4,1
dotazioni tecnico strumentali,bandi online,procedura semplice abbastanza intuitiva,1
turismoeattrattivita,siage,gestione bando stata chiara efficente,1
bando accumulo anno 2017,siage,chiaro rispettato tempistica,1
faber iii ed,bandi online,bando ok procedura leggermente farraginosa non non_sempre non_immediata,1
biblioteche 2018,bandi online,consente veloce accesso esecuzione on line procedure complesse,1
asd 2018,bandi online,dovrebbe essere migliorato graficamente,0
bando accumulo anno 2017,bandi online,potrebbero migliorare menù accesso pratiche bandi resto sembra buon servizio,1
faber iii ed,bandi online,complesso,0
contributi acquisto attrezzature vvff volontari,pec-peo,pur tempistica breve messa disposizione riusciti concludere acquisti pagamenti tempi previsti vigili fuoco,1
